user_id,rank,product_id,product_name,score
2670,1,18572,Decaffeinated House Blend Dark Roast Ground Coffee,0.4466559775834262
2670,2,25755,Singles Supreme French Bread Pizzas,0.4466559775834262
2670,3,26533,Smoked Norwegian Salmon,0.4466559775834262
2670,4,5678,Deil Style Kosher Dill Relish,0.4466559775834262
2670,5,11785,Condensed Soup Healthy Request Bean With Bacon,0.4466559775834262
2670,6,13334,Strawberry Blueberry Yogurt,0.40586018720375994
2670,7,39668,Passover Crackers Lightly Salted Tam Tams,0.40586018720375994
2670,8,28039,Flour Tortillas For Soft Tacos & Fajitas,0.40586018720375994
2670,9,44373,Manisch Everything Tam,0.40586018720375994
2670,10,10950,Bran Flakes Whole Grain Wheat Cereal,0.40586018720375994
1584,1,37488,Health Loaf,1.5934065934065935
1584,2,23928,Butter Chicken Simmer Sauce,1.5934065934065935
1584,3,14873,Fruit Cocktail In Heavy Syrup,1.5934065934065933
1584,4,40702,Wine Snack Herring,1.5934065934065933
1584,5,12972,"Popping Corn, Gourmet, Simply Salted",1.5934065934065933
1584,6,15320,Hickory Brown Sugar Barbecue Sauce,1.5934065934065933
1584,7,1317,Calming Comfort Baby Lotion,1.5934065934065933
1584,8,31005,Fit Berry Blast Liquid Water Enhancer,1.5934065934065933
1584,9,43124,Kick Start Energizing Fruit Punch Sparkling Juice Beverage,1.5934065934065933
1584,10,11876,Chicken & Vegetable Potstickers,1.5934065934065933
5158,1,23601,Clover Honey,0.16483516483516486
5158,2,35219,Gluten Free Taco Sauce,0.16483516483516486
5158,3,28,Wheat Chex Cereal,0.16483516483516486
5158,4,47176,Comforting Geranium Aromatherapy Mineral Bath,0.16483516483516486
5158,5,37002,Green Jalapeno Pepper Sauce,0.16483516483516486
5158,6,4508,Spinach & Cheese Pupusas,0.16483516483516486
5158,7,15453,Gluten Free Vanilla Creme Cookies,0.16483516483516486
5158,8,49265,Milk Chocolate Candy,0.16483516483516486
5158,9,11331,Deluxe Mixed Nuts,0.16483516483516486
5158,10,2579,Organic Freeze Dried Instant Decaf Coffee,0.16483516483516483
797,1,35145,Infusions Ultra Downy® Infusions™ Lavender Serenity™ Fabric Softener Sheets 105 count Fabric Enhancers,0.43956043956043966
797,2,23566,"\""Constant Comment\"" Black Tea",0.43956043956043966
797,3,35556,Natural Hard Apple Cider,0.43956043956043966
797,4,41022,Lime Sparkling Water Beverage,0.43956043956043966
797,5,46186,Sparkling Sweet Rose,0.43956043956043966
797,6,25028,Posted 3/5/2013 Anti-Dandruff Shampoo,0.43956043956043966
797,7,4209,All Natural Sriracha Popcorn,0.43956043956043966
797,8,6505,Fat Free Sour Cream & Onion Potato Crisps,0.43956043956043966
797,9,46560,"Low Pulp, Calcium & Vitamin D Orange Juice Beverage",0.43956043956043966
797,10,38836,Starmont Cabernet Sauvignon Napa Valley,0.43956043956043966
2508,1,16820,Season All Seasoned Salt,0.2197802197802198
2508,2,1438,Men Clinical+ Clean Anti-Perspirant & Deodorant,0.2197802197802198
2508,3,41616,Spinach & Artichoke Parmesan Dip,0.2197802197802198
2508,4,44484,Grain Free Naturals Dry Dog Food Chicken & Garden Pea Recipe,0.2197802197802198
2508,5,48172,Culture Club Kombucha Goji Ginger,0.2197802197802198
2508,6,26783,Coconut & Almond Milk Blend,0.2197802197802198
2508,7,43803,Baby Corn on the Cob Whole Spears,0.2197802197802198
2508,8,6630,Home Style French Toast,0.2197802197802198
2508,9,40436,Fresh Mozzarella Ovolini Packed In Water,0.2197802197802198
2508,10,37771,Magnesium 250 mg Tablets,0.2197802197802198
